lecture_number,slide_number,marker,transcript
11,4,(èलाइडसमय का संदभ[ लɅ: 10:21),"अब यह èमृǓत, 7c00 मɅ मौजूद èमृǓत और हाड[ ͫडèक के सेÈटर 0 से RAM मɅ कॉपी कȧ गई
है, िजसे MBR या माèटर बूट ǐरकॉड[ (
Master Boot
Record​) के Ǿप मɅ जाना जाता है।
इसͧलए, यह ͪवशेष कोड 512 बाइɪस है िजसमɅ से 446 बाइट Ǔनदȶश हɇ जो बूट करने योÊय
कोड हɇ - ͧसèटम को बूट करने के तरȣके के बारे मɅ। 64 bytes हɇ िजनके पास ͫडèक पर
मौजूद ͪवͧभÛन ͪवभाजनɉ के बारे मɅ जानकारȣ है। अǓनवाय[ Ǿप से 64 बाइट ĤǓत ͪवभाजन 16
bytes मɅ ͪवभािजत होते हɇ और ͩफर हèता¢र के 2 byte होते हɇ िजनका उपयोग यह पहचानने
के ͧलए ͩकया जाता है ͩक यह वाèतव मɅ MBR कोड है या नहȣं। इसͧलए, यह कोड RAM मɅ
मौजूद 7c00 èथान से ǓनçपाǑदत करना शुǾ कर देता है और यह आमतौर पर Èया करता है
यह है ͩक यह ͪवभाजन ताͧलका मɅ मौजूद है, और यह ऑपरेǑटंग ͧसèटम को boot करने का
Ĥयास करने जा रहा है। इसͧलए, अǓनवाय[ Ǿप से ऐसा करने के ͧलए, यह पहले लोड करता है
िजसे ऑपरेǑटंग ͧसèटम के boot loader के Ǿप मɅ जाना जाता है। इसͧलए, Ĥ×येक ऑपरेǑटंग
ͧसèटम का अपना बूट लोडर होगा। उदाहरण के ͧलए LINUX का अपना बूट लोडर होगा या
Windows का अपना boot loader होगा और इसी तरह। और, वैकिãपक Ǿप से यह सीधे
ऑपरेǑटंग ͧसèटम को लोड कर सकता है। तो, हम देखɅगे ͩक boot loader, लोड मɅ Èया होता
है।"
11,5,(èलाइडसमय का संदभ[ लɅ: 12:04),"तो, MBR ǓनçपाǑदत करने के बाद, बूट लोडर (boot loader) ǓनçपाǑदत होगा। तो, बूट लोडर
का मुÉय काम यह है ͩक यह ऑपरेǑटंग ͧसèटम लोड करता है। इसͧलए, यह वैकिãपक Ǿप से
कुछ ऑपरेǑटंग ͧसèटम कȧ तरह है जो हम आज देखते हɇ, यह उपयोगकता[ को यह चुनने का
ͪवकãप दे सकता है ͩक कौन सी ऑपरेǑटंग ͧसèटम लोड हो। बूट लोडर (boot loader) ɮवारा
कȧ जाने वालȣ अÛय चीजɅ interrupt को अ¢म करना है, जीडीटȣ ( GDT​) को वाèतͪवक मोड से
सुरͯ¢त मोड मɅ बदलɅ और ͫडèक से ऑपरेǑटंग ͧसèटम को RAM मɅ पढ़Ʌ। तो, ये चीजɅ हɇ जो
xv6 ऑपरेǑटंग ͧसèटम ɮवारा कȧ जाती हɇ। इसͧलए, जब हम एक बूट लोडर से एक ऑपरेǑटंग
ͧसèटम के ͧलए दूसरे ऑपरेǑटंग ͧसèटम मɅ जाते हɇ तो थोड़ी ͧभÛनताएं हो सकती हɇ। कभी-कभी
Èया हो सकता है ͩक हमारे पास यह MBR कोड ǒबãकुल मौजूद नहȣं है। ऐसे मामले मɅ BIOS
या ऐसे मामले मɅ बूट लोडर èवयं हाड[ ͫडèक के ¢ेğ शूÛय मɅ मौजूद है और BIOS बूट लोडर
को èथान 7c00 मɅ लोड करेगा और बूट लोडर पर कूद जाएगा। अǓनवाय[ Ǿप से Èया हो रहा है
ͩक हम इस ͪवशेष MBR Ǔनçपादन को छोड़ रहे हɇ। इसͧलए, एक बार बूट लोडर ǓनçपाǑदत हो
जाता है और Ĥोसेसर और GDT सेट करता है और वाèतͪवक मोड से सुरͯ¢त मोड मɅ बदलता
है, तो यह ͫडèक से ऑपरेǑटंग ͧसèटम लोड करेगा। अब संरͯ¢त मोड 32 ǒबट मोड है, अǓनवाय[
Ǿप से जहां हम èमृǓत ¢ेğ को सीͧमत करते हɇ िजसे 1 गीगा से 4 gigabytes के पूरे ¢ेğ तक
पहुंचा जा सकता है। इसͧलए, हम इस बारे मɅ अͬधक जानकारȣ नहȣं दɅगे ͩक इस ͪवशेष संरͯ¢त
मोड को कैसे सͩĐय ͩकया जाता है।"
11,6,(èलाइडसमय का संदभ[ लɅ: 14:13),"तो, बूट लोडर ऑपरेǑटंग ͧसèटम लोड करने के बाद, यह ऑपरेǑटंग ͧसèटम मɅ Ǔनयंğण
èथानांतǐरत करता है। और ऑपरेǑटंग ͧसèटम कई चीजɅ करता है, जैसे यह virtual memory
सेट करता है। इसͧलए, इसमɅ
page directories
​और
page tables​ सेट अप करना शाͧमल है। यह
interrupt vectors
​और
IDT interrupt descriptor
​टेबल और interrupt से संबंͬधत अÛय
पहलुओं को Ĥारंभ करता है। ͩफर यह ͧसèटम मɅ मौजूद ͪवͧभÛन उपकरणɉ जैसे
timers,
monitors, hard disks, consoles, file systems
​आǑद शुǾ करता है। ͩफर यह मौजूद होने पर
अÛय ĤͩĐयाओं को भी Ĥारंभ कर सकता है, और आͨखरकार यह पहलȣ उपयोगकता[ ĤͩĐया शुǾ
कर देगा। तो, भͪवçय के वीͫडयो मɅ, हम देखɅगे ͩक पहलȣ उपयोगकता[ ĤͩĐया Èया है? तो यह
ͪवशेष उपयोगकता[ ĤͩĐया पहलȣ ĤͩĐया है जो उपयोगकता[ कȧ जगह मɅ ǓनçपाǑदत होती है। तो,
आप याद कर सकते हɇ ͩक यह सब ऑपरेǑटंग ͧसèटम मɅ ǓनçपाǑदत होते हɇ और अǓनवाय[ Ǿप
से यह kernel space मɅ ǓनçपाǑदत होता है और यह केवल boot up अनुĐम के दौरान इस
ͪवशेष
point
​पर होता है, Èया उपयोगकता[ ĤͩĐया ǓनçपाǑदत होने लगती है। तो, इसके बाद,
Èया उàमीद कȧ जाती है ͩक यह पहलȣ उपयोगकता[ ĤͩĐया ͪवͧभÛन
jobs
​या
user process
jobs​, ͪवͧभÛन DRAM और इतने पर चलेगी; और इसकȧ ​काय[ shell बनाने के ͧलए है। तो,
इस shell का उपयोग उपयोगकता[ ɮवारा ͪवͧभÛन काय[Đमɉ और आदेशɉ को चलाने के ͧलए
ͩकया जाएगा।"
11,7,(èलाइडसमय का संदभ[ लɅ: 16:05),"तो, अब हम उन Ĥणाͧलयɉ को देखɅगे िजनमɅ
multiprocessor
​मौजूद है। इसͧलए, जैसा ͩक हमने
ͪपछले वीͫडयो मɅ देखा है, इसͧलए इंटेल Ĥकार के
architecture
​मɅ िजसमɅ एक
multiprocessor
मौजूद है। इसͧलए, सभी Ĥोसेसर front side bus साझा करते हɇ और front side bus पर एक
chip set या
north
bridge​ होता है जो मेमोरȣ बस (memory bus) के साथ interface करता
है। इसͧलए, अǓनवाय[ Ǿप से इस इंटेल Ĥकार के
architecture
​मɅ हमारे पास èमृǓत समǾपता
है। तो, इसका मतलब यह है ͩक, ͧसèटम मɅ सभी Ĥोसेसर एक हȣ मेमोरȣ èपेस साझा करते हɇ।
अǓनवाय[ Ǿप से ͩकसी ͪवशेष DRAM èथान तक पहुंचने के ͧलए, सभी Ĥोसेसर को DRAM को
एक हȣ पता भेजना होगा, और èमृǓत के इस तरह के समͧमत Ǻæय होने का लाभ यह है ͩक
हमारे पास एक सामाÛय ऑपरेǑटंग ͧसèटम कोड हो सकता है जो इन Ĥोसेसर मɅ से ͩकसी भी मɅ
ǓनçपाǑदत हो सकता है। इसी Ĥकार, I/O समǾपता के Ǿप मɅ जाना जाता है। अǓनवाय[ Ǿप से
इसका अथ[ यह है ͩक सभी Ĥोसेसर समान I/O उपĤणालȣ साझा करते हɇ; अǓनवाय[ Ǿप से सभी
Ĥोसेसर ͩकसी भी I/O ͫडवाइस से interrupt ĤाÜत कर सकते हɇ।"
11,8,(èलाइडसमय का संदभ[ लɅ: 17:30),"अब, मãटȣĤोसेसर ͧसèटम को बूट करने के ͧलए, आम तौर पर Èया ͩकया जाता है ͩक एक
Ĥोसेसर को 'बूट Ĥोसेसर' (
‘Boot
Processor’​) या BSP के Ǿप मɅ नाͧमत ͩकया जाता है।
इसͧलए, यह पद या तो हाड[वेयर मɅ या BIOS ɮवारा एक ͪवशेष single set करके ͩकया जाता
है, और अÛय सभी Ĥोसेसर को एÜलȣकेशन Ĥोसेसस[ (‘
Application
Processors​') के Ǿप मɅ
नाͧमत ͩकया जाता है। इसͧलए, जब ͧसèटम चालू होता है, तो यह केवल बूट Ĥोसेसर होता है
जो ǓनçपाǑदत करना शुǾ करता है। इसͧलए, BIOS बूट Ĥोसेसर मɅ ǓनçपाǑदत होगा और वह
BSP है, और BSP तब ͧसèटम कॉिÛफ़गरेशन के बारे मɅ सीखता है। यह Ǔनधा[ǐरत करता है ͩक
ͩकतने अÛय एपीज ( APs​) हɇ, यह है ͩक ͧसèटम मɅ ͩकतने अÛय एिÜलकेशन Ĥोसेसर
(‘​Application Processor​') मौजूद हɇ और ͩफर यह एिÜलकेशन Ĥोसेसर के बूǑटंग को ǑĚगर
करता है। इसͧलए, इसके बाद सभी आवæयक Ĥारंͧभकरण यह अनुĤयोग Ĥोसेसर के बूट को
trigger करेगा। इसͧलए, बूट का यह triggering,
startup IPI
​या startup inter processor
interrupt के Ǿप मɅ जाना जाता है। यह BSP से एक संकेत है जो एिÜलकेशन Ĥोसेसर के
boot processor है। इसͧलए, जब application processor इस signal को देखते हɇ तो वे
boot करना शुǾ कर दɅगे और Ǔनिæचत Ǿप से, वे पहचानते हɇ ͩक वे मुÉय BSP नहȣं बिãक
एिÜलकेशन Ĥोसेसर हɇ। इसͧलए, वे ͧसèटम मɅ मौजूद ͪवͧभÛन उपकरणɉ को शुǾ करने जैसे
ͪवͧभÛन पहलुओं को छोड़ देते हɇ। इस वीͫडयो मɅ हमने देखा था ͩक CPU boot reset पर
पावर को उस समय से Ĥोसेसर को Ĥदान ͩकया जाता है जब ऑपरेǑटंग ͧसèटम पहलȣ
उपयोगकता[ ĤͩĐया को ǓनçपाǑदत और Ĥायोिजत करना शुǾ करता है। इस कोस[ के बाद के
Ǒहèसे मɅ हम ऑपरेǑटंग ͧसèटम मेमोरȣ Ĥबंͬधत करते हɇ और ͧसèटम मɅ चल रहे ͪवͧभÛन
ĤͩĐयाओं का Ĥबंधन कैसे करते हɇ, इसके बारे मɅ ͪवͧभÛन पहलुओं को देखɅगे।
धÛयवाद।"
12,0,,"ऑपरेǑटंग ͧसèटम का पǐरचय
Ĥोफेसर चेèटर रेबेरो
कंÜयूटर ͪव£ान और इंजीǓनयǐरंग ͪवभाग
भारतीय Ĥौɮयोͬगकȧ संèथान, मġास
वीक - 03 åयाÉयान - 11
ऑपरेǑटंग ͧसèटम(ĤͩĐयाएं)
नमèकार और इस वीͫडयो मɅ आपका èवागत है। तो इस वीͫडयो मɅ हम ĤͩĐयाओं/Ĥोसेसेज
(​Processes​) को देखɅगे, जो संभवतः ऑपरेǑटंग ͧसèटम का सबसे मह×वपूण[ Ǒहèसा है। इसͧलए,
ĤͩĐयाओं को, जैसे ͩक हम जानते हɇ ͩक Ǔनçपादन मɅ लगा एक काय[Đम/ĤोĒाम (program) है।
तो हम आज देखɅगे ͩक ऑपरेǑटंग ͧसèटम ĤͩĐयाओं का Ĥबंधन कैसे करते हɇ।"
12,1,(èलाइडसमय का संदभ[ लɅ: 00:38),"तो आइए èĐȧन पर ""हैलो वãड["" ͪĤंट करने के इस Ĥͧसɮध उदाहरण के साथ शुǾ करɅ। इसͧलए,
जब gcc हैलो डॉट सी के साथ संकͧलत ͩकया गया है तो यह Ǔनçपादन योÊय ए डॉट आउट
बनाता है। तो जब एक डॉट आउट ǓनçपाǑदत ͩकया जाता है तो एक ĤͩĐया बनाई जाती है। इस
ĤͩĐया का Ǒहèसा RAM मɅ होगा और इसे वचु[अल एĜेस मैप ɮवारा पहचाना जाएगा। तो
वचु[अल एĜेस मैप 0 से शुǾ होने वालȣ संगत एĜेस करने योÊय मेमोरȣ èथानɉ का एक अनुĐम
है जो MAX_SIZE कȧ सीमा तक है। तो, इस वचु[अल एĜेस मैप के भीतर हमारे पास Ǔनदȶश,
वैिæवक और èथैǓतक डेटा, ढेर, साथ हȣ साथ èटैक सǑहत ĤͩĐया के ͪवͧभÛन पहलू हɇ।"
12,2,(èलाइडसमय का संदभ[ लɅ: 01:28),"इसͧलए जैसा ͩक हमने पहले के वीͫडयो मɅ देखा है, वचु[अल एĜेस èपेस या वचु[अल एĜेस मैप
एक ĤͩĐया के समान आकार वाले Þलॉक मɅ बांटा गया है। तो आम तौर पर Ĥ×येक Þलॉक का
आकार 4 ͩकलो बाइट होता है। ͩफर Ĥ×येक ĤͩĐया मɅ èमृǓत मɅ एक ĤͩĐया पृçठ ताͧलका भी
होगी जो ĤͩĐया के Ĥ×येक Þलॉक को संबंͬधत पृçठ ĥेम मɅ मैप करती है। जैसा ͩक हमने देखा
है, रैम Þलॉक आकार के समान आकार 4 kb के page frame मɅ बांटा गया है। और इन
page frame मɅ ĤͩĐया का वाèतͪवक कोड और डेटा होता है िजसे ǓनçपाǑदत ͩकया जा रहा है।
अब हमने इÛहɅ ͪपछले वीͫडयो मɅ देखा है। लेͩकन सवाल जो हमɅ पूछना है; ऑपरेǑटंग ͧसèटम
कहां है या kernel इस पूरȣ योजना मɅ कहां रहता है। इसͧलए जैसा ͩक हम जानते हɇ ͩक
kernel एक अÛय सॉÝटवेयर है और इसे ǓनçपाǑदत करने के ͧलए RAM मɅ उपिèथत होना है।
इस Ĥकार, अͬधकांश ऑपरेǑटंग ͧसèटम जैसे LINUX के साथ-साथ ऑपरेǑटंग ͧसèटम मɅ जो
हम पढ़ रहे हɇ वह xv6 है, kernel page frame 1, 2, 3 से शुǾ होने वालȣ मेमोरȣ के Ǔनचले
भाग मɅ रहता है। बस हर दूसरे पेज ĥेम कȧ तरह कनȶल दो बराबर आकार के पेज ĥेम मɅ बांटा
गया है। अब जब से हम ͧसèटम मɅ वचु[अल एĜेͧसंग का उपयोग कर रहे हɇ, तो kernel से
संबंͬधत page frame ĤͩĐया के वचु[अल एĜेस èपेस मɅ मैप ͩकए जाते हɇ। इसͧलए, kernel
code और data MAX_SIZE से ऊपर और अͬधकतम सीमा के Ǿप मɅ जाने वालȣ सीमा से
नीचे मौजूद हɇ। अब, ĤͩĐया कȧ पृçठ ताͧलका मɅ ͩफर से इस मानͬचğ से संबंͬधत Ĥͪविçटयां
हɇ। उदाहरण के ͧलए 7, 8, 9, और 10 kernel code और data वाले Þलॉक से संबंͬधत हɇ
और पृçठ ताͧलका हमɅ बताती है ͩक उÛहɅ page frames 1, 2, 3, और 4 मɅ मैप ͩकया गया
है"
12,3,(èलाइडसमय का संदभ[ लɅ: 03:42),"अब, हम इस ͪवशेष वचु[अल एĜेस èपेस को दो घटकɉ मɅ ͪवभािजत कर सकते हɇ। एक
उपयोगकता[ èथान है जो नीले ¢ेğ से मेल खाता है िजसमɅ user processes, code, data
और stack और ढेर जैसे अÛय सेगमɅट शाͧमल हɇ। ͩफर, kernel space है जो kernel code
data और kernel के अÛय पहलुओं से मेल खाता है। इसͧलए, MAX_SIZE उपयोगकता[ èथान
और kernel space के बीच कȧ सीमा को पǐरभाͪषत करता है। एक उपयोगकता[ ĤोĒाम केवल
इस उपयोगकता[ èथान मɅ मौजूद ͩकसी भी कोड (code) या डाटा (data) तक पहुंच सकता है।
उपयोगकता[ ĤोĒाम kernel èपेस मɅ कुछ भी नहȣं एÈसेस कर सकता है। दूसरȣ तरफ, कनȶल
कनȶल èपेस के साथ-साथ उपयोगकता[ èथान दोनɉ मɅ डेटा के साथ-साथ डेटा तक पहुंच सकता
है। इसͧलए, यह उपयोगकता[ अंतǐर¢ ĤोĒाम को डेटा को दुभा[वनापूण[ Ǿप से संशोͬधत करने या
kernel संरचनाओं को संशोͬधत करने से रोकता है।"
12,4,(èलाइडसमय का संदभ[ लɅ: 04:51),"तो, Úयान देने योÊय एक और बात यह है ͩक ĤͩĐया के वचु[अल èपेस मɅ kernel address के
बीच संबंͬधत भौǓतक ĥेम मɅ कनȶल पतɉ के बीच एक संगत मैͪपंग है िजसमɅ कनȶल मैप ͩकया
जाता है। उदाहरण के ͧलए, kernel blocks 7, 8, 9, और 10 को contiguous page frames
1, 2, 3, और 4 मɅ मैप ͩकया जाता है। तो, यह संगत मैͪपंग वाèतव मɅ Èयɉ उपयोग कȧ जाती
है? तो, एक सबसे मह×वपूण[ पहलू यह है ͩक इस संगत मैͪपंग को देखते हुए kernel के ͧलए
virtual address से physical address मɅ Ǿपांतरण करना आसान होता है और इसके ͪवपरȣत
भी। उदाहरण के ͧलए, कनȶल èपेस मɅ वचु[अल एĜेस से kernel के page frames मɅ संबंͬधत
physical address मɅ पǐरवǓत[त करने के ͧलए MAX_SIZE ɮवारा एक सरल घटाव चाल
करेगा। उदाहरण के ͧलए, xv6 मɅ जहां MAX_SIZE को 0x80000000 के Ǿप मɅ पǐरभाͪषत
ͩकया गया है, तो 0x80124345 का वचु[अल पता MAX_SIZE को घटाकर संबंͬधत physical
address मɅ पǐरवǓत[त ͩकया जा सकता है। इसͧलए, भौǓतक पता बस 0x00124345 के Ǿप मɅ
ͧलखा जाएगा। इसी तरह, kernel space मɅ संबंͬधत एक भौǓतक पता और kernel page
frame मɅ डेटा को MAX_SIZE जोड़कर kernel space मɅ संबंͬधत वचु[अल पते मɅ पǐरवǓत[त
ͩकया जा सकता है। उदाहरण के ͧलए, इस मामले मɅ भौǓतक पता 0x00124345 को यह
MAX_SIZE ĤाÜत करने के ͧलए kernel sapce मɅ संबंͬधत आभासी/वचु[अल (virtual) पते मɅ
पǐरवǓत[त ͩकया जा सकता है - 0x80124345।"
12,5,(èलाइडसमय का संदभ[ लɅ: 06:52),"तो, Èया होता है जब हमारे पास ͧसèटम मɅ कई ĤͩĐयाएं होती हɇ? Kernel sapce को Ĥ×येक
ĤͩĐया के सभी आभासी पता ǐरÈत èथानɉ मɅ समान Ǿप से मैप ͩकया जाता है। उदाहरण के
ͧलए, MAX_SIZE से ऊपर और नीचे अͬधकतम सीमाएं kernel sapce सभी ĤͩĐयाओं मɅ
मौजूद है। इसी तरह, Ĥ×येक ĤͩĐया मɅ पृçठ ताͧलका मɅ कनȶल पेज टेबलस (kernel page
tables) और kernel पर मौजूद संबंͬधत page ĥेम के बीच एक समान मैͪपंग भी होती है,
जैसा ͩक इन कुछ Ĥͪविçटयɉ के साथ-साथ इन कुछ Ĥͪविçटयɉ मɅ देखा जा सकता है। अब Úयान
देने योÊय एक बात यह है ͩक, हालांͩक Ĥ×येक ĤͩĐया के वचु[अल एĜेस èपेस मɅ कनȶल के ͧलए
अलग-अलग Ĥͪविçटयां हɇ। हालांͩक सभी ĤͩĐयाएं अंततः RAM मɅ उसी page ĥेम मɅ अपने
कनȶल èपेस को मैप करती हɇ। तो, इसका मतलब यह है ͩक, हमारे पास RAM मɅ उपिèथत
kernel कȧ एक हȣ ĤǓत है। हालांͩक, kernel कोड (code) और डाटा (data) से संबंͬधत Ĥ×येक
ĤͩĐया पेज ताͧलका (page table) मɅ कई समान Ĥͪविçटयां हो सकती हɇ।"
12,6,(èलाइडसमय का संदभ[ लɅ: 08:12),"अब हमने देखा है ͩक कनȶल RAM मɅ मौजूद है और साथ हȣ जहां यह Ĥ×येक ĤͩĐया के
वचु[अल एĜेस èपेस मɅ मैप हो जाता है, अब हम देखɅगे ͩक kernel के अनुǾप metadata Èया
है Ĥ×येक ĤͩĐया जो ͧसèटम मɅ चलती है। इसͧलए, ͧसèटम मɅ Ĥ×येक ĤͩĐया मɅ 3 metadata
के Ǿप मɅ जाना जाता है; ĤͩĐया Ǔनयंğण Þलॉक (process control block), उस उपयोगकता[
ĤͩĐया के ͧलए कनȶल èटैक (kernel stack) और उस उपयोगकता[ ĤͩĐया के ͧलए संबंͬधत
पृçठ ताͧलका (page table)। इसͧलए, ͧसèटम मɅ चलने वालȣ Ĥ×येक ĤͩĐया मɅ इन तीन
Þलॉक हɉगे जो उस ĤͩĐया के ͧलए अɮͪवतीय हɇ। इसͧलए हमने पहले से हȣ एक पृçठ सारणी
को उस उपयोगकता[ ĤͩĐया के आभासी एĜेसेबल èपेस को संबंͬधत पेज ĥेम पर मैप ͩकया है,
िजस पर ĤͩĐया है। अब हम देखɅगे अÛय दो मेटाडाटा।"
12,7,(èलाइडसमय का संदभ[ लɅ: 09:06),"इसͧलए, हमने सीखा है ͩक Ĥ×येक ĤͩĐया के अनुǾप ͪवͧभÛन segment हɇ, और एक
मह×वपूण[ सेगमɅट ĤͩĐया का ढेर/èटैक (stack) है। इसͧलए उपयोगकता[ कȧ िèथǓत मɅ मौजूद
इस ĤͩĐया के ढेर मɅ èथानीय चर/लोकल वेǐरएबल (local variable) जैसे सूचनाएं और फ़ंÈशन
कॉल (function call) के बारे मɅ जानकारȣ भी होगी। तो यह अब हम उपयोगकता[/यूजर èपेस
èटैक (user space stack) के Ǿप मɅ कॉल करɅगे। user space stack के अलावा Ĥ×येक
ĤͩĐया मɅ kernel space stack या उस ĤͩĐया के ͧलए kernel stack के Ǿप मɅ कुछ भी
जाना जाएगा। इसͧलए kernel stack का उपयोग तब ͩकया जाता है जब kernel ͩकसी ĤͩĐया
के संदभ[ मɅ ǓनçपाǑदत होता है। उदाहरण के ͧलए, जब ĤͩĐया, ͧसèटम कॉल ǓनçपाǑदत करती
है तो इसके पǐरणामèवǾप कुछ kernel कोड Ǔनçपादन होते हɇ और इन कनȶल कोड के ͧलए
कनȶल èटैक का उपयोग èथानीय चर के साथ-साथ फ़ंÈशन कॉल भी होता है। इसके अलावा यह
kernel stack कई अÛय मह×वपूण[ पहलुओं के ͧलए उपयोग ͩकया जाता है जैसे ͩकसी ĤͩĐया
के संदभ[ को èटोर करने के साथ-साथ èटोर करना। stack के मानक उपयोग के अलावा
èथानीय और ऑटो चर के साथ-साथ फ़ंÈशन कॉल के ͧलए, कनȶल èटैक एक ĤͩĐया के संदभ[
को संĒहȣत करने मɅ एक मह×वपूण[ भूͧमका Ǔनभाता है जो ĤͩĐया को समय के बाद पुनरारंभ
करने कȧ अनुमǓत देगा। तो, हमारे पास दो अलग-अलग ढेर/èटैक (stack) Èयɉ हɇ? हमारे पास
ĤͩĐया के साथ-साथ कनȶल èटैक के ͧलए उपयोगकता[ èटैक Èयɉ है? लाभ जो हम ĤाÜत करते
हɇ वह यह है ͩक kernel ǓनçपाǑदत हो सकता है भले हȣ उपयोगकता[ èटैक अनुपयोगी हो। ऐसे
मɅ हमले जो èटैक को लêय करते हɇ, जैसे buffer overflow हमले, इस तरह के मामले मɅ
कनȶल को Ĥभाͪवत नहȣं करेगा। तो, हम PCB मɅ कुछ मह×वपूण[ घटकɉ को देखɅ। तो यह ͪवशेष
संरचना xv6 ऑपरेǑटंग ͧसèटम PCB से लȣ जाती है िजसे struct proc के Ǿप मɅ पǐरभाͪषत
ͩकया जाता है। इस ͪवशेष संरचना के कुछ मह×वपूण[ त×व या पहलू 'sz' हɇ जो ĤͩĐया èमृǓत
का आकार है, 'pgdir' जो ĤͩĐया के ͧलए पृçठ Ǔनदȶͧशका के ͧलए सूचक है। 'kstack' जो कनȶल
èटैक के ͧलए एक सूचक है िजसे हमने पहले कुछ èलाइड पǐरभाͪषत कȧ है। और अÛय पहलुओं
जैसे ͩक ĤͩĐया ɮवारा खोले गए फाइलɉ कȧ एक सूची, ĤͩĐया कȧ वत[मान काय[शील Ǔनदȶͧशका
(current working directory), और Ǔनçपादन योÊय नाम; उदाहरण के ͧलए, हमारे उदाहरण मɅ
ए डॉट आउट। इसͧलए, हम आने वालȣ èलाइडɉ मɅ इन कुछ अÛय पैरामीटर देखɅगे।"
12,8,(èलाइडसमय का संदभ[ लɅ: 12:04),"इसͧलए Ĥ×येक ĤͩĐया के अनुǾप PCB मɅ एक मह×वपूण[ Ĥͪविçट PID या ĤͩĐया पहचानकता[
Ĥोसेस आइडɅǑटफायर (Process Identifier) है। तो यह अǓनवाय[ Ǿप से एक पूणाɍक के Ǿप मɅ
पǐरभाͪषत ĤͩĐया के ͧलए एक पहचानकता[ है और Ĥ×येक ĤͩĐया मɅ एक अɮͪवतीय PID होगा।
तो आम तौर पर, संÉया Đमशः इस तरह से बढ़ाई जाएगी ͩक जब एक ĤͩĐया बनाई जाती है
तो यह एक अɮͪवतीय संÉया ĤाÜत होती है।"
12,9,(èलाइडसमय का संदभ[ लɅ: 12:35),"PCB मɅ एक अÛय मह×वपूण[ पहलू ĤͩĐया कȧ िèथǓत है। इसͧलए समय से ĤͩĐया उस जब
बनाया जाता है और जब यह अिèत×व मɅ आता है, यह कई अवèथाओं/èटेɪस (state) के
माÚयम से चलता है। जैसे ͩक NEW, READY, BLOCK state, या RUNNING state । xv
6 इन èटेɪस को ͪवͧभÛन नामɉ से बुलाता है, जैसे ͩक NEW को ħूण/एàŮयो (Embryo) कहा
जाता है िजसका अथ[ है ͩक एक नई ĤͩĐया वत[मान मɅ बनाई जा रहȣ है, जबͩक READY को
Runnable के Ǿप मɅ जाना जाता है िजसका अथ[ है ͩक यह दौड़ने के ͧलए तैयार है, जबͩक
Sleeping को जाना जाता है BLOCK state और अǓनवाय[ Ǿप से एक I/O के ͧलए
अवǽɮध/ÞलॉÈड (blocked)। तो, एक ĤͩĐया वाèतव मɅ एक अवèथा से दूसरे अवèथा मɅ कैसे
और कब जाती है? तो जब एक नई ĤͩĐया बनाई जाती है तो शुǽआत मɅ यह अवèथा मɅ नया
होता है। जब यह अवèथा चलाने के ͧलए तैयार होता है िजसे READY state के Ǿप मɅ जाना
जाता है, और जब यह अंततः Ĥोसेसर पर चलता है तो इसे RUNNING state मɅ èथानांतǐरत
कर Ǒदया जाता है। थोड़ी देर के ͧलए चलने के बाद ĤͩĐया को अÛय ĤͩĐयाओं को चलाने कȧ
अनुमǓत देने के ͧलए Ĥोसेसर से छूट दȣ जाती है, और इस तरह के मामले मɅ यह RUNNING
state से READY state तक वापस जाता है। अब, मान लɅ ͩक ĤͩĐया के Ǔनçपादन के दौरान
कुछ I/O ऑपरेशन आवæयक हɇ। उदाहरण के ͧलए, ĤͩĐया एक èकैनर को बुला सकती है
िजसके ͧलए उपयोगकता[ को keyboard के माÚयम से कुछ दज[ करना पड़ता है। ऐसे मामले मɅ
ĤͩĐया को रǓनंग िèथǓत (RUNNING state) से Þलॉक अवèथा (Block state) मɅ ले जाया
जाएगा। इसͧलए, ĤͩĐया तब तक Þलॉक िèथǓत मɅ रहेगी जब तक घटना न हो। उदाहरण के
ͧलए जब उपयोगकता[ कुंजीपटल के माÚयम से कुछ दज[ करता है, तो जब यह घटना होती है
तो ĤͩĐया Þलॉक िèथǓत से तैयार िèथǓत मɅ वापस जाती है। और एक अवèथा से दूसरे अवèथा
मɅ जाने के ͧलए तैयार होने कȧ ĤͩĐया, वापस जाने के ͧलए तैयार या अवǽɮध होने से और
ͩफर ĤͩĐया के पूरे जीवन चĐ के माÚयम से तैयार रहती है। अंत मɅ जब ĤͩĐया मौजूद होती
है या समाÜत हो जाती है तो यह EXIT state के Ǿप मɅ जाना जाता है, यह इस आरेख मɅ नहȣं
Ǒदखाया जाता है। तो, आप वाèतव मɅ xv6 कोड proc dot h देख सकते हɇ और जो आपको
ͪवͧभÛन अवèथाओं के बारे मɅ अͬधक जानकारȣ देगा। तो, यह तैयार अवèथा (READY state)
Èया है?"
